[2026-02-01 21:25:58] k
[2026-02-01 21:26:02] h
[2026-02-01 21:26:02] i
[2026-02-01 21:26:02] r
[2026-02-01 21:26:02] u
[2026-02-01 21:26:02] n
[2026-02-01 21:26:02] Key.space
[2026-02-01 21:26:03] p
[2026-02-01 21:26:03] i
[2026-02-01 21:26:03] t
[2026-02-01 21:26:03] i
[2026-02-01 21:26:03] g
[2026-02-01 21:26:04] a
[2026-02-01 21:26:04] l
[2026-02-01 21:26:04] a
[2026-02-01 21:26:05] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:26:06] Key.backspace
[2026-02-01 21:27:02] Key.ctrl_l
[2026-02-01 21:27:02] 
